RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,DelqEver,DelqLast12M,PercentSatisfactoryTrades,TradeFreq,NumTotalDelqTrades
Bad,73,147,4,66,20,0,0,100,122,7,7,20,2,50,36,0,0,74,76,5,4,1,100,FALSE,FALSE,100,135,0
Good,88,206,2,79,25,0,0,100,122,7,7,27,3,56,0,3,3,0,74,0,3,1,43,FALSE,FALSE,93,130,0
Bad,77,166,2,86,19,0,0,100,122,7,7,20,3,20,2,2,2,44,,5,2,0,70,FALSE,FALSE,95,120,0
Bad,65,121,9,48,20,1,1,95,14,2,6,21,1,25,0,0,0,49,42,6,3,0,75,TRUE,TRUE,95,172,2
Good,77,178,5,80,18,0,0,100,122,7,7,18,3,39,4,2,2,24,,4,1,0,71,FALSE,FALSE,100,101,0
Good,68,175,4,48,27,0,0,100,122,7,7,29,4,28,0,1,1,54,44,7,3,1,83,FALSE,FALSE,93,165,0
Bad,73,85,6,38,10,0,0,100,122,7,7,10,2,50,0,1,1,81,,1,1,0,50,FALSE,FALSE,100,116,0
Good,81,198,3,92,20,0,0,100,122,7,7,20,1,30,0,2,2,34,76,2,4,0,60,FALSE,FALSE,100,101,0
Bad,55,189,19,81,35,2,1,78,1,2,2,42,0,44,0,3,3,67,36,5,2,1,64,TRUE,TRUE,83,221,10
Bad,69,99,6,33,23,0,0,100,122,7,7,32,3,21,0,7,7,33,95,3,3,1,43,FALSE,FALSE,72,320,0
Good,77,158,23,104,20,0,0,100,122,7,7,22,0,32,0,1,1,72,,1,1,1,50,FALSE,FALSE,91,138,0
Bad,56,180,8,74,29,2,2,87,2,3,3,32,4,30,36,1,1,30,80,5,4,1,69,TRUE,TRUE,91,177,5
Good,83,281,2,59,13,0,0,100,122,7,7,14,6,43,1,2,2,2,80,1,4,0,56,FALSE,FALSE,93,50,0
Bad,59,134,17,83,8,2,0,42,1,6,5,12,0,67,0,3,3,77,,1,1,1,100,TRUE,TRUE,67,89,7
Bad,76,177,3,53,28,0,0,100,122,7,7,29,4,64,36,2,2,1,81,3,11,0,82,FALSE,FALSE,97,163,0
Bad,75,316,14,56,14,0,0,100,122,7,7,31,0,21,36,0,0,41,,2,1,2,43,FALSE,FALSE,45,98,0
Good,83,364,3,106,22,1,1,91,27,7,3,28,2,13,0,4,4,17,,4,1,0,63,TRUE,FALSE,79,77,3
Good,69,187,2,98,29,0,0,97,25,7,6,30,3,37,2,2,2,33,74,7,4,2,73,TRUE,FALSE,97,160,1
Bad,65,91,1,38,17,1,1,89,21,7,6,18,5,56,0,6,6,26,37,3,4,0,78,TRUE,FALSE,94,196,2
Good,83,181,5,53,25,0,0,100,122,7,7,26,2,4,36,1,1,18,,5,1,0,55,FALSE,FALSE,96,143,0
Bad,73,372,3,86,23,0,0,83,16,7,6,23,2,35,0,5,5,9,75,2,6,0,53,TRUE,FALSE,100,62,4
Good,86,307,24,131,14,0,0,100,122,7,7,15,0,0,0,0,0,10,,2,2,0,29,FALSE,FALSE,93,49,0
Bad,83,198,3,100,23,1,0,92,41,7,5,25,1,68,1,2,2,4,53,2,4,0,75,TRUE,FALSE,92,126,2
Good,70,196,4,64,34,0,0,100,122,7,7,35,1,37,0,0,0,83,,6,1,3,100,FALSE,FALSE,97,178,0
Bad,68,209,5,110,43,1,0,88,13,7,5,48,2,54,36,1,1,51,90,10,3,2,76,TRUE,FALSE,90,229,6
Bad,72,221,1,62,20,1,0,95,57,7,5,22,2,14,0,2,2,16,,4,1,0,43,TRUE,FALSE,91,99,2
Bad,56,247,6,76,16,4,0,67,4,5,5,21,2,62,0,2,2,64,82,6,10,2,100,TRUE,TRUE,76,85,7
Good,89,421,7,136,19,0,0,100,122,7,7,28,1,16,1,0,0,4,,3,2,0,30,FALSE,FALSE,68,66,0
Good,85,232,2,105,26,0,0,100,122,7,7,41,2,39,0,2,2,5,,3,3,1,46,FALSE,FALSE,63,176,0
Bad,68,378,8,140,10,3,1,77,15,7,4,13,1,54,36,0,0,0,70,0,3,1,60,TRUE,FALSE,77,34,3
Good,71,142,1,60,37,0,0,100,122,7,7,40,7,50,3,3,3,64,78,4,6,2,71,FALSE,FALSE,92,280,0
Good,86,442,2,106,20,0,0,100,122,7,7,21,1,33,0,0,0,5,47,2,1,1,43,FALSE,FALSE,95,47,0
Good,85,387,79,223,9,0,0,100,122,7,7,11,0,0,0,0,0,34,,3,2,0,60,FALSE,FALSE,82,28,0
Bad,75,293,9,143,9,0,0,89,11,6,6,9,2,22,0,0,0,59,78,3,1,1,57,TRUE,TRUE,100,31,1
Bad,59,128,19,64,3,2,0,20,3,5,5,5,0,80,0,0,0,0,90,0,2,1,67,TRUE,TRUE,60,39,4
Good,67,94,14,43,5,1,0,86,29,7,5,7,0,14,0,0,0,54,,4,2,2,80,TRUE,FALSE,71,74,1
Good,60,160,3,48,16,0,0,81,5,6,6,16,4,31,4,2,2,65,74,2,3,1,63,TRUE,TRUE,100,99,4
Good,68,375,8,65,25,0,0,100,122,7,7,35,2,48,1,1,1,71,63,3,4,2,78,FALSE,FALSE,71,93,0
Bad,68,216,4,91,23,1,1,88,52,7,2,26,6,54,36,2,2,42,90,6,2,1,80,TRUE,FALSE,88,120,4
Bad,68,178,3,85,21,0,0,100,122,7,7,22,3,43,2,7,7,66,3,3,3,1,100,FALSE,FALSE,95,123,0
Bad,77,291,3,116,14,0,0,100,122,7,7,14,1,36,0,6,6,45,69,6,3,2,75,FALSE,FALSE,100,48,0
Good,91,232,80,141,14,0,0,100,122,7,7,22,0,0,9,0,0,2,,2,2,0,33,FALSE,FALSE,64,94,0
Good,85,156,4,66,27,0,0,100,122,7,7,28,2,39,13,0,0,2,88,4,3,1,80,FALSE,FALSE,96,178,0
Bad,61,176,8,65,24,0,0,80,32,7,6,25,3,44,0,1,0,54,72,5,3,2,89,TRUE,FALSE,96,141,5
Good,75,201,2,65,31,0,0,97,44,7,6,46,6,30,12,0,0,30,76,4,3,1,36,TRUE,FALSE,67,228,2
Good,69,400,10,112,11,2,2,85,42,7,2,13,2,54,36,0,0,46,82,2,3,2,83,TRUE,FALSE,85,32,2
